1,1,95,65,0.58
2,1,88,77,0.87
3,1,78,40,9.11
4,1,66,65,4.18
5,2,14,39,7.92
6,2,32,82,6.36
7,2,47,82,6.71
8,2,4,89,8.98
9,3,3,56,2.44
10,3,92,50,0.39
11,3,95,98,0.33
12,3,89,48,0.76
13,3,77,26,1.11
14,4,54,57,1.85
15,4,27,39,4.82
16,4,95,85,0.99
17,4,53,64,1.50
18,4,41,24,5.11
19,4,92,55,1.18
20,4,78,63,15.49
21,4,15,84,8.07
22,4,6,67,2.45
23,4,56,97,3.22
24,5,82,66,2.97
25,5,31,70,2.07
26,5,48,64,3.59
27,5,89,59,1.09
28,5,54,27,0.89
29,5,87,87,2.35
30,5,78,94,7.46
31,5,75,71,0.20
32,5,96,24,0.20
33,6,17,34,1.01
34,6,10,82,0.80
35,6,75,54,0.24
36,6,72,99,0.82
37,6,83,25,1.48
38,7,72,68,1.39
39,7,47,83,6.71
40,7,58,85,7.31
41,7,40,18,1.73
42,7,50,44,4.51
43,7,41,74,5.11
44,7,14,100,7.92
45,8,73,50,1.20
46,8,59,15,11.80
47,8,1,32,2.67
48,8,78,86,15.49
49,8,80,65,0.71
50,8,38,48,7.52
51,9,86,91,0.77
52,9,33,90,1.32
53,9,12,23,1.44
54,9,26,57,1.57
55,9,20,69,3.26
56,9,73,69,0.45
57,10,86,51,1.00
58,10,49,13,3.00
59,10,73,17,0.58
60,10,26,36,2.03
61,10,16,77,3.94
62,10,42,37,2.09
63,10,5,60,3.85
64,10,21,72,1.60
65,11,87,50,4.88
66,12,29,86,0.95
67,12,88,72,1.48
68,12,50,14,4.51
69,12,96,58,0.42
70,12,18,12,7.64
71,12,57,59,15.60
72,12,36,72,6.86
73,13,57,52,8.40
74,13,79,24,0.50
75,13,50,99,2.43
76,13,14,39,4.27
77,13,33,74,1.91
78,13,72,86,0.75
79,13,85,66,0.62
80,13,36,26,3.70
81,13,45,60,1.09
82,14,84,11,0.43
83,14,67,64,3.60
84,14,12,72,1.17
85,14,1,91,0.81
86,14,8,10,1.12
87,15,15,10,8.07
88,15,66,46,7.11
89,15,29,19,0.95
90,15,88,87,1.48
91,15,46,11,5.57
